x1,x2,x3
360.0,110.0,370.0
250.0,410.0,490.0
500.0,400.0,230.0
330.0,120.0,200.0
130.0,460.0,380.0
30.0,140.0,230.0
490.0,440.0,470.0
460.0,140.0,420.0
370.0,390.0,410.0
100.0,350.0,250.0
70.0,430.0,210.0
540.0,250.0,470.0
440.0,80.0,320.0
370.0,120.0,260.0
190.0,20.0,320.0
120.0,440.0,320.0
100.0,350.0,340.0
60.0,280.0,360.0
350.0,390.0,510.0
100.0,180.0,280.0
160.0,430.0,340.0
450.0,420.0,430.0
490.0,420.0,340.0
370.0,170.0,370.0
220.0,350.0,490.0
130.0,190.0,350.0
250.0,110.0,530.0
490.0,70.0,350.0
60.0,90.0,520.0
530.0,420.0,200.0
470.0,490.0,470.0
280.0,280.0,200.0
460.0,110.0,540.0
300.0,250.0,400.0
140.0,230.0,420.0
240.0,440.0,240.0
140.0,170.0,220.0
200.0,230.0,500.0
140.0,180.0,370.0
380.0,320.0,220.0
170.0,290.0,480.0
300.0,240.0,420.0
360.0,440.0,500.0
380.0,430.0,460.0
560.0,140.0,520.0
530.0,50.0,250.0
190.0,490.0,520.0
150.0,310.0,380.0
210.0,200.0,470.0
280.0,80.0,530.0
170.0,220.0,290.0
430.0,330.0,200.0
300.0,180.0,200.0
260.0,430.0,300.0
200.0,380.0,450.0
40.0,50.0,240.0
70.0,320.0,280.0
170.0,470.0,240.0
340.0,480.0,320.0
250.0,200.0,220.0
310.0,200.0,360.0
320.0,30.0,510.0
370.0,440.0,360.0
250.0,480.0,290.0
360.0,260.0,480.0
330.0,170.0,300.0
410.0,350.0,350.0
50.0,470.0,260.0
340.0,110.0,350.0
220.0,120.0,490.0
430.0,450.0,260.0
530.0,290.0,430.0
520.0,200.0,460.0
340.0,180.0,540.0
550.0,260.0,310.0
30.0,350.0,280.0
580.0,60.0,510.0
360.0,50.0,290.0
590.0,420.0,540.0
580.0,160.0,230.0
520.0,470.0,380.0
150.0,210.0,370.0
80.0,480.0,300.0
70.0,480.0,420.0
460.0,320.0,250.0
490.0,330.0,410.0
370.0,170.0,300.0
450.0,400.0,530.0
280.0,410.0,500.0
140.0,50.0,510.0
340.0,290.0,460.0
280.0,290.0,530.0
170.0,100.0,420.0
120.0,170.0,430.0
130.0,310.0,240.0
450.0,30.0,260.0
300.0,100.0,440.0
130.0,420.0,260.0
420.0,200.0,390.0
300.0,110.0,220.0
